Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, checkpoint_dir='checkpoint/runorbit_v2', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=10, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, gpu=0, learn_extractor=False, learning_rate=0.0001, mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: checkpoint/runorbit_v2/2021-11-02-22-07-56

epoch [1/10][60/2200], train loss: 2.2980266, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][61/2200], train loss: 9.7327385, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][62/2200], train loss: 3.7838917, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][63/2200], train loss: 0.0000863, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][64/2200], train loss: 0.2102077, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][65/2200], train loss: 8.5871487, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][66/2200], train loss: 47.7727814, frame_acc: 100.00, time/task: 0m08s
epoch [1/10][67/2200], train loss: 15.9791651, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][68/2200], train loss: 16.8458633, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][69/2200], train loss: 36.2804298, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][70/2200], train loss: 19.6752300, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][71/2200], train loss: 0.0000887, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][72/2200], train loss: 13.1598721, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][73/2200], train loss: 20.8265610, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][74/2200], train loss: 33.0368805, frame_acc: 75.00, time/task: 0m04s
epoch [1/10][75/2200], train loss: 21.9928684, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][76/2200], train loss: 0.0000443, frame_acc: 100.00, time/task: 0m00s
epoch [1/10][77/2200], train loss: 0.0001109, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][78/2200], train loss: 0.0000667, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][79/2200], train loss: 19.5330868, frame_acc: 25.00, time/task: 0m03s
epoch [1/10][80/2200], train loss: 0.2940116, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][81/2200], train loss: 0.0000914, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][82/2200], train loss: 5.8641419, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][83/2200], train loss: 20.1529694, frame_acc: 25.00, time/task: 0m04s
epoch [1/10][84/2200], train loss: 62.7736282, frame_acc: 100.00, time/task: 0m09s
epoch [1/10][85/2200], train loss: 0.0000467, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][86/2200], train loss: 0.4547395, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][87/2200], train loss: 3.9814255, frame_acc: 100.00, time/task: 0m05s
epoch [1/10][88/2200], train loss: 137.5472870, frame_acc: 75.00, time/task: 0m06s
epoch [1/10][89/2200], train loss: 0.1817885, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][90/2200], train loss: 26.3466320, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][91/2200], train loss: 0.0000457, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][92/2200], train loss: 22.6681976, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][93/2200], train loss: 0.0000457, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][94/2200], train loss: 16.0841408, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][95/2200], train loss: 5.1637449, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][96/2200], train loss: 0.0000686, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][97/2200], train loss: 21.2748432, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][98/2200], train loss: 32.5590134, frame_acc: 0.00, time/task: 0m04s
epoch [1/10][99/2200], train loss: 24.8739033, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][100/2200], train loss: 90.2932053, frame_acc: 75.00, time/task: 0m07s
epoch [1/10][101/2200], train loss: 0.8988730, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][102/2200], train loss: 16.9222698, frame_acc: 100.00, time/task: 0m04s
epoch [1/10][103/2200], train loss: 0.2896879, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][104/2200], train loss: 16.4921970, frame_acc: 75.00, time/task: 0m05s
epoch [1/10][105/2200], train loss: 10.6642017, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][106/2200], train loss: 32.9580688, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][107/2200], train loss: 19.6720829, frame_acc: 100.00, time/task: 0m06s
epoch [1/10][108/2200], train loss: 1.7221570, frame_acc: 100.00, time/task: 0m04s
epoch [1/10][109/2200], train loss: 15.2372847, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][110/2200], train loss: 0.0000913, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][111/2200], train loss: 31.9820099, frame_acc: 25.00, time/task: 0m03s
epoch [1/10][112/2200], train loss: 0.4173224, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][113/2200], train loss: 9.0653477, frame_acc: 25.00, time/task: 0m03s
epoch [1/10][114/2200], train loss: 13.8816624, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][115/2200], train loss: 0.0000488, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][116/2200], train loss: 0.0004133, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][117/2200], train loss: 0.0000755, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][118/2200], train loss: 2.0471263, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][119/2200], train loss: 54.5490112, frame_acc: 25.00, time/task: 0m04s
epoch [1/10][120/2200], train loss: 0.0000488, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][121/2200], train loss: 0.0000755, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][122/2200], train loss: 63.2675858, frame_acc: 0.00, time/task: 0m03s
epoch [1/10][123/2200], train loss: 10.7049274, frame_acc: 50.00, time/task: 0m03s
epoch [1/10][124/2200], train loss: 16.3048477, frame_acc: 50.00, time/task: 0m03s
